Date,Open,High,Low,Close
12/2019,"60.73","67.59","60.30","66.00"
11/2019,"59.45","64.27","59.40","60.49"
10/2019,"59.38","62.11","56.15","59.62"
09/2019,"58.80","71.95","57.23","59.25"
08/2019,"64.09","64.54","55.88","59.25"
07/2019,"65.05","67.65","61.29","65.05"
06/2019,"61.64","66.02","59.45","64.74"
05/2019,"71.73","73.40","61.39","61.99"
04/2019,"67.58","75.60","67.58","72.06"
03/2019,"66.48","68.69","64.02","67.58"
02/2019,"61.06","67.73","60.46","66.31"
01/2019,"54.12","63.15","52.51","60.84"
12/2018,"53.00","54.82","52.66","53.80"
