Date,Open,High,Low,Close,Volume
12/2019,"4.3300","5.7800","3.9900","5.5600","47,219,789"
11/2019,"4.0500","4.6200","3.9100","4.2800","56,703,983"
10/2019,"4.4000","4.5700","3.7500","4.0300","48,297,641"
09/2019,"4.2700","5.9400","4.1100","4.3700","65,112,221"
08/2019,"4.6700","4.8900","3.9600","4.3800","49,755,568"
07/2019,"5.1400","5.2050","4.0450","4.4900","55,166,175"
06/2019,"4.2400","4.9900","4.1200","4.9600","44,799,214"
05/2019,"6.3800","6.3918","4.1200","4.2000","59,947,627"
04/2019,"7.0300","7.1750","6.2100","6.3800","45,005,664"
03/2019,"5.2500","7.1500","4.7300","6.9000","72,827,019"
02/2019,"5.0900","5.3200","4.3650","5.2100","41,419,310"
01/2019,"4.0200","5.7500","3.9100","5.0400","49,823,811"
12/2018,"4.1500","4.2250","4.0400","4.1200","1,962,896"
